timestamp,temperature,gpu_util,mem_util,memory_used,power_draw,sm_clock,pstate
2026/02/10 12:25:25.150,41,0,0,7,10.23,300,P8
2026/02/10 12:25:26.217,41,0,0,7,10.15,300,P8
2026/02/10 12:25:27.283,41,0,0,7,9.95,300,P8
2026/02/10 12:25:28.361,41,0,0,7,9.95,300,P8
2026/02/10 12:25:29.441,41,0,0,7,11.21,300,P8
2026/02/10 12:25:30.521,41,0,0,7,9.95,300,P8
2026/02/10 12:25:31.589,41,0,0,7,10.15,300,P8
2026/02/10 12:25:32.657,41,0,0,7,10.04,300,P8
2026/02/10 12:25:33.733,41,0,0,7,10.05,300,P8
2026/02/10 12:25:34.798,41,0,0,7,9.94,300,P8
2026/02/10 12:25:35.874,41,0,0,7,10.14,300,P8
2026/02/10 12:25:36.939,41,0,0,7,9.95,300,P8
2026/02/10 12:25:38.015,41,0,0,7,9.95,300,P8
2026/02/10 12:25:39.089,41,0,0,7,10.14,300,P8
2026/02/10 12:25:40.159,41,0,0,7,10.92,300,P8
2026/02/10 12:25:41.224,41,0,0,7,9.95,300,P8
2026/02/10 12:25:42.300,41,0,0,7,9.95,300,P8
2026/02/10 12:25:43.369,41,0,0,7,11.6,300,P8
2026/02/10 12:25:44.449,41,0,0,7,9.95,300,P8
2026/02/10 12:25:45.517,41,0,0,7,9.85,300,P8
2026/02/10 12:25:46.585,41,0,0,7,9.95,300,P8
2026/02/10 12:25:47.661,41,0,0,7,9.95,300,P8
2026/02/10 12:25:48.738,41,0,0,7,10.14,300,P8
2026/02/10 12:25:49.816,41,0,0,7,9.85,300,P8
2026/02/10 12:25:50.892,41,0,0,7,9.95,300,P8
2026/02/10 12:25:51.969,41,0,0,7,9.94,300,P8
2026/02/10 12:25:53.044,41,0,0,7,10.14,300,P8
2026/02/10 12:25:54.118,41,0,0,7,9.95,300,P8
2026/02/10 12:25:55.193,41,0,0,7,9.85,300,P8
2026/02/10 12:25:56.257,41,0,0,7,9.95,300,P8
2026/02/10 12:25:57.333,41,0,0,7,10.23,300,P8
2026/02/10 12:25:58.408,41,0,0,7,9.94,300,P8
2026/02/10 12:25:59.483,41,0,0,7,9.95,300,P8
2026/02/10 12:26:00.562,41,0,0,7,10.05,300,P8
2026/02/10 12:26:01.631,41,0,0,7,10.34,300,P8
2026/02/10 12:26:02.699,41,0,0,7,10.82,300,P8
2026/02/10 12:26:03.777,41,0,0,7,9.94,300,P8
2026/02/10 12:26:04.852,41,0,0,7,9.95,300,P8
2026/02/10 12:26:05.919,41,0,0,7,10.34,300,P8
2026/02/10 12:26:06.986,41,0,0,7,10.24,300,P8
2026/02/10 12:26:08.062,41,0,0,7,10.15,300,P8
2026/02/10 12:26:09.137,41,0,0,7,9.94,300,P8
2026/02/10 12:26:10.196,41,0,0,7,9.94,300,P8
2026/02/10 12:26:11.271,41,0,0,7,10.34,300,P8
2026/02/10 12:26:12.346,41,0,0,7,9.95,300,P8
2026/02/10 12:26:13.420,41,0,0,7,11.4,300,P8
2026/02/10 12:26:14.485,41,0,0,7,10.04,300,P8
2026/02/10 12:26:15.552,41,0,0,7,10.14,300,P8
2026/02/10 12:26:16.626,41,0,0,7,11.01,300,P8
2026/02/10 12:26:17.697,41,0,0,7,10.14,300,P8
2026/02/10 12:26:18.772,41,0,0,7,10.14,300,P8
2026/02/10 12:26:19.838,41,0,0,7,10.14,300,P8
2026/02/10 12:26:20.906,41,0,0,7,9.95,300,P8
2026/02/10 12:26:21.985,41,0,0,7,10.34,300,P8
2026/02/10 12:26:23.064,41,0,0,7,9.95,300,P8
2026/02/10 12:26:24.128,41,0,0,7,12.28,300,P8
2026/02/10 12:26:25.194,41,0,0,7,10.14,300,P8
2026/02/10 12:26:26.259,41,0,0,7,10.04,300,P8
2026/02/10 12:26:27.327,41,0,0,7,10.14,300,P8
2026/02/10 12:26:28.403,41,0,0,19,17.9,585,P0
2026/02/10 12:26:29.493,43,41,9,397,64.23,735,P0
2026/02/10 12:26:30.555,45,100,26,397,67.89,810,P0
2026/02/10 12:26:31.624,46,100,25,397,68.66,825,P0
2026/02/10 12:26:32.692,46,100,26,397,69.67,825,P0
2026/02/10 12:26:33.760,47,100,26,397,70.54,840,P0
2026/02/10 12:26:34.824,48,100,27,397,69.77,855,P0
2026/02/10 12:26:35.879,48,100,27,397,70.73,855,P0
2026/02/10 12:26:36.936,49,100,27,397,70.82,840,P0
2026/02/10 12:26:37.991,50,100,27,397,69.58,840,P0
2026/02/10 12:26:39.054,50,100,27,397,69.14,825,P0
2026/02/10 12:26:40.111,51,100,27,397,69.14,840,P0
2026/02/10 12:26:41.177,51,100,26,397,69.96,825,P0
2026/02/10 12:26:42.230,52,100,27,397,69.96,825,P0
